album_name,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,instrumentalness_mean,liveness_mean,valence_mean,tempo_mean,mode_mode,key_mode,time_signature_mode
"Another Self Portrait (1969-1971): The Bootleg Series, Vol. 10 [Deluxe Edition]",0.5142,0.434336,-9.63894,0.051651999999999997,0.7634000000000001,0.011845216999999998,0.376478,0.5056080000000001,120.44239999999999,1,0,4
Another Side Of Bob Dylan,0.5179090909090909,0.42590909090909085,-8.18909090909091,0.03908181818181818,0.7396363636363635,3.1e-05,0.10765454545454545,0.46136363636363636,133.917,1,7,4
Before The Flood (Live),0.4107619047619047,0.8876190476190476,-7.254238095238096,0.1903952380952381,0.1843509523809524,0.00027012095238095236,0.9278571428571428,0.4544761904761905,133.5572857142857,1,7,4
Blonde On Blonde,0.48050000000000004,0.6122857142857142,-8.993285714285713,0.03774285714285714,0.4128785714285715,1.8547857142857143e-05,0.17024999999999998,0.6684285714285715,123.02714285714286,1,2,4
Blood On The Tracks,0.469,0.3988,-15.4441,0.04401,0.49549000000000004,0.00039533599999999993,0.09037999999999999,0.5431,123.54189999999998,1,4,4
Bob Dylan,0.536076923076923,0.48184615384615387,-8.533153846153846,0.03823846153846154,0.8294615384615385,0.0073475761538461535,0.14870769230769232,0.6125384615384616,120.83338461538462,1,7,4
Bob Dylan At Budokan (Live),0.47077272727272723,0.6047272727272728,-8.277090909090909,0.06175,0.5242727272727273,0.007762237272727273,0.7645909090909092,0.6215909090909091,116.62909090909092,1,0,4
Bob Dylan In Concert: Brandeis University 1963 (Live),0.535,0.3975714285714286,-13.185,0.18632857142857143,0.6198571428571429,0.0005962857142857142,0.25314285714285717,0.49957142857142856,109.56228571428572,1,7,4
Bob Dylan Live At Carnegie Hall 1963,0.49533333333333335,0.21611666666666665,-13.752833333333333,0.052083333333333336,0.8453333333333334,6.028333333333333e-05,0.8451666666666666,0.45,148.4265,1,10,3
Bringing It All Back Home,0.6111818181818182,0.4853636363636364,-12.69609090909091,0.05047272727272727,0.6259090909090909,6.145454545454545e-07,0.16376363636363636,0.6611818181818182,136.35654545454545,1,4,4
Christmas In The Heart,0.5468666666666666,0.4732,-6.691800000000001,0.034686666666666664,0.7452000000000001,0.0,0.13711333333333334,0.4987333333333333,100.30386666666666,1,7,4
Desire,0.5258888888888889,0.6307777777777778,-8.600777777777777,0.03794444444444445,0.155,6.505777777777777e-05,0.15853333333333333,0.5866666666666667,134.80588888888892,1,7,4
Down In The Groove,0.5633,0.5127200000000001,-12.2574,0.043480000000000005,0.37046,0.000221148,0.11333,0.5649,118.1985,1,9,4
Dylan & The Dead (Live),0.4777142857142857,0.5191428571428571,-13.934142857142858,0.05552857142857143,0.14364142857142856,0.003191847142857143,0.9475714285714286,0.5004285714285714,139.044,1,2,4
Dylan (1973),0.4648888888888889,0.5564444444444444,-9.918444444444445,0.04191111111111111,0.4891111111111111,5.227111111111111e-05,0.19156666666666666,0.5216666666666667,116.24055555555555,1,0,4
Empire Burlesque,0.5567,0.59029,-12.807400000000001,0.04643,0.21188,4.1674e-05,0.16597,0.6063,126.8401,1,4,4
Fallen Angels,0.51875,0.086875,-21.900833333333335,0.041466666666666666,0.8382499999999999,2.0878333333333333e-05,0.12791666666666665,0.3195,97.95941666666666,1,0,4
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17",0.5257826086956522,0.600695652173913,-8.22008695652174,0.03753478260869565,0.4496130434782609,0.02585220304347826,0.14576956521739132,0.45991304347826084,120.53339130434783,1,4,4
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)",0.50808,0.60844,-8.342039999999999,0.043668,0.44465499999999997,0.0319744268,0.295258,0.47119999999999995,122.99878000000001,1,4,4
Good As I Been To You,0.5446153846153846,0.2857692307692308,-13.119,0.030769230769230767,0.8035384615384615,0.015312452307692308,0.1493076923076923,0.4489230769230769,114.5986923076923,1,10,4
Hard Rain (Live),0.45433333333333326,0.7148888888888889,-9.508444444444443,0.05288888888888889,0.38266666666666665,0.0003692633333333333,0.7894444444444444,0.5951111111111111,126.53177777777779,1,4,4
Highway 61 Revisited,0.4474444444444445,0.6685555555555555,-7.163333333333333,0.03626666666666666,0.6655555555555556,1.0878888888888888e-05,0.2558777777777778,0.5685555555555556,105.48577777777777,1,0,4
Infidels,0.632375,0.559875,-10.78725,0.0405875,0.1839375,5.2767500000000006e-05,0.1913,0.68525,117.18575,1,10,4
John Wesley Harding,0.5419166666666667,0.35333333333333333,-13.315166666666668,0.03710833333333333,0.45283333333333337,0.0002722,0.11574166666666667,0.64175,144.20416666666668,1,5,4
Knocked Out Loaded,0.553,0.626125,-11.43075,0.0376125,0.1950906625,3.5425e-05,0.18209999999999998,0.6905,133.217625,1,7,4
Love And Theft,0.5750833333333333,0.6509166666666667,-8.88225,0.05281666666666667,0.3251366666666667,0.0006357658333333334,0.13210833333333336,0.54225,103.52166666666666,1,0,4
MTV Unplugged (Live),0.4950909090909091,0.6521818181818181,-11.258909090909091,0.04614545454545454,0.5492727272727272,0.064251,0.8164545454545454,0.5304545454545454,128.4512727272727,1,9,4
Modern Times,0.6252,0.563,-9.3724,0.03918,0.47519999999999996,0.005244769000000001,0.19666,0.546,121.1677,1,5,4
"More Blood, More Tracks: The Bootleg Series, Vol. 14 (Sampler)",0.5039,0.33490000000000003,-13.1018,0.040279999999999996,0.5736,0.001293677,0.12821,0.48129999999999995,120.99090000000001,1,4,4
Nashville Skyline,0.5782999999999999,0.3044,-20.4086,0.04532,0.6035,0.13269363,0.17326000000000003,0.6062000000000001,123.3847,1,0,4
New Morning,0.50425,0.42783333333333334,-11.168416666666666,0.040275,0.62025,0.046748824999999994,0.138075,0.6008333333333333,118.55149999999999,1,0,4
No Direction Home: Bootleg Volume 7 (Movie Soundtrack),0.4953571428571429,0.48207142857142854,-10.325428571428573,0.046525,0.5981971428571429,0.1301564792857143,0.3570035714285714,0.5167499999999999,120.38442857142857,1,7,4
Oh Mercy,0.5558,0.4625,-11.7226,0.056799999999999996,0.181134,0.038932232000000004,0.15589000000000003,0.28868,126.7855,1,1,4
Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture),0.5305,0.2802,-15.532900000000001,0.03648,0.6467,0.541523238,0.11433,0.48150000000000004,131.1067,1,7,4
Planet Waves,0.564,0.613090909090909,-8.832545454545455,0.05739090909090909,0.5527272727272727,0.024029591818181817,0.15825454545454545,0.704,124.5090909090909,1,2,4
Real Live,0.44480000000000003,0.6338,-11.6368,0.046579999999999996,0.282065,0.000171412,0.7352000000000001,0.5641,122.27629999999999,1,7,4
Rough and Rowdy Ways,0.5402,0.22666,-17.7624,0.10382,0.7293000000000001,0.000187672,0.11128,0.32406,115.57629999999999,1,0,4
Saved,0.5122222222222222,0.6466666666666667,-7.74488888888889,0.039433333333333334,0.289,0.0014907777777777777,0.15102222222222222,0.4852222222222222,119.44333333333333,1,0,4
Self Portrait,0.5437916666666667,0.3965416666666666,-10.487041666666666,0.038129166666666665,0.7364999999999999,0.05212067916666668,0.17524583333333332,0.589625,116.30545833333333,1,0,4
Shadow Kingdom,0.5151428571428571,0.3705,-11.465928571428572,0.053321428571428575,0.6752142857142857,0.004309890714285714,0.33057142857142857,0.39664285714285713,123.47699999999999,1,2,4
Shadows in the Night,0.2955,0.036070000000000005,-22.8764,0.03517,0.883,0.000967882,0.11742,0.15692,112.6845,1,2,4
Shot Of Love,0.5504,0.51029,-13.0582,0.04198,0.33524000000000004,0.000526676,0.14874,0.6317,124.7147,1,10,4
Slow Train Coming,0.7073333333333333,0.49511111111111117,-10.715222222222222,0.08214444444444444,0.41133333333333333,9.431111111111111e-05,0.0921,0.7101111111111111,128.399,1,2,4
"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985",0.5796,0.59272,-8.89296,0.050024,0.33785200000000004,0.0194569516,0.208812,0.59548,127.43704,1,9,4
Street-Legal,0.49755555555555553,0.521,-11.176,0.035022222222222225,0.29244444444444445,3.463888888888889e-05,0.13225555555555554,0.6316666666666666,130.4081111111111,1,2,4
Tell Tale Signs: The Bootleg Series Vol. 8 (Deluxe Edition),0.5397692307692308,0.5586410256410256,-9.115666666666668,0.05067692307692308,0.38756033333333334,0.012341522307692306,0.2791692307692308,0.4703589743589744,127.65207692307692,1,0,4
Tempest,0.5946,0.5702,-10.1814,0.0538,0.6261,0.0015225,0.1567,0.5698000000000001,120.19570000000002,1,7,4
The Basement Tapes,0.4852916666666667,0.6215833333333334,-6.8120416666666666,0.05194583333333333,0.536875,0.04424407375,0.19299999999999998,0.6374166666666666,123.63833333333334,1,7,4
"The Basement Tapes Complete: The Bootleg Series, Vol. 11 (Deluxe Edition)",0.50462,0.37508,-11.68454,0.032208,0.54835,0.0253148698,0.19344999999999998,0.6087,108.29176,1,2,4
The Bootleg Series Volumes 1-3 (Rare And Unreleased) 1961-1991,0.51984,0.386398,-11.37974,0.065536,0.6609235999999999,0.024430773599999997,0.191358,0.52676,125.97247999999999,1,7,4
"The Bootleg Series, Vol. 5 - Bob Dylan Live 1975: The Rolling Thunder Revue",0.4607727272727273,0.7076363636363636,-8.005045454545455,0.08180909090909091,0.3098772727272727,0.007941552727272727,0.880090909090909,0.5395454545454546,133.01268181818182,1,0,4
The Bootleg Volume 6: Bob Dylan Live 1964 - Concert At Philharmonic Hall,0.5064736842105263,0.5031578947368421,-10.052684210526316,0.24646315789473686,0.7401052631578947,4.563684210526316e-06,0.8306315789473684,0.47789473684210526,135.23026315789474,1,7,4
The Complete Budokan 1978 (Live),0.4955,0.49725,-10.611300000000002,0.044273999999999994,0.374964,0.0526203002,0.41387,0.5629339999999999,117.46358000000001,1,0,4
"The Cutting Edge 1965-1966: The Bootleg Series, Vol.12 (Deluxe Edition)",0.60044,0.41333800000000004,-12.07976,0.074976,0.58606,0.0008607262,0.187284,0.6216,124.00806,1,0,4
The Freewheelin' Bob Dylan,0.5540769230769231,0.22902307692307694,-17.246076923076924,0.0495076923076923,0.8163846153846154,0.000953146923076923,0.15163076923076924,0.5924615384615385,119.68453846153845,1,2,4
The Real Royal Albert Hall 1966 Concert (Live),0.35733333333333334,0.6430666666666667,-10.432466666666667,0.10344,0.42988,0.0004886406666666667,0.66572,0.36466666666666664,136.01893333333334,1,2,4
The Rolling Thunder Revue: The 1975 Live Recordings (Sampler),0.48529999999999995,0.5656399999999999,-12.551300000000001,0.07224,0.41319999999999996,1.601e-05,0.7633,0.7147,132.7235,1,0,4
The Times They Are A-Changin',0.5412,0.22279999999999997,-13.461599999999999,0.036820000000000006,0.8657999999999999,0.000806881,0.14974,0.41659999999999997,113.0743,1,0,4
The Witmark Demos: 1962-1964 (The Bootleg Series Vol. 9),0.5582765957446809,0.19722340425531917,-15.747872340425532,0.04634468085106383,0.8968510638297873,0.08227898297872341,0.15599787234042553,0.5374468085106383,118.70972340425531,1,2,4
Time Out Of Mind,0.4823636363636364,0.47154545454545455,-13.121999999999998,0.04184545454545455,0.4872727272727273,0.012314604545454544,0.14013636363636364,0.4354545454545455,115.4031818181818,1,1,4
Together Through Life,0.6003999999999999,0.5882,-7.820399999999999,0.03430999999999999,0.2753,0.000375744,0.26792,0.6342000000000001,110.6537,1,9,4
"Travelin' Thru, 1967 - 1969: The Bootleg Series, Vol. 15 (Sampler)",0.5860666666666667,0.4408533333333333,-13.766,0.043886666666666664,0.5807333333333333,0.007120931333333333,0.12618666666666667,0.7243333333333334,126.06966666666668,1,9,4
Triplicate,0.4239,0.2447,-12.099133333333333,0.03188333333333333,0.9066333333333334,0.0026067963333333334,0.11355,0.2246,115.59933333333333,1,1,4
"Trouble No More: The Bootleg Series, Vol. 13 / 1979-1981 (Deluxe Edition)",0.53692,0.534878,-13.41,0.05043,0.3958508,0.00046681060000000005,0.5563199999999999,0.59088,125.76324000000001,1,2,4
Under The Red Sky,0.6138,0.6857,-10.5247,0.04128,0.3599,0.00491546,0.14962,0.665,118.6587,1,3,4
World Gone Wrong,0.4962,0.2653,-13.8094,0.03327,0.8252,0.006082008,0.12689,0.40519999999999995,119.85889999999999,1,2,4
